timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-04-26T21:24:03,Linear_Regression_Model,85a8f602-ad6f-4f02-a743-98e199d9ffef,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.520888399973046,3.121236784554178e-06,2.052245769386823e-06,5.005730304,0.3451806978027339,10.0,1.4120084783586514e-06,1.455556719997392e-07,2.817341110979517e-06,4.3749052613379074e-06,0.0,India,IND,uttar pradesh,,,Windows-11-10.0.26200-SP0,3.13.9,3.2.6,12,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,81.8517,25.4425,7.341899871826172,machine,0,0,0,0,N,1.0,0.0
2026-04-26T21:45:59,Linear_Regression_Model,35fbd617-5637-4d7a-a757-186c1f8f0b4c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.5803119999472983,3.2938618726599e-06,2.0843111187979e-06,4.8913756785,0.405900618243956,10.0,1.459466663700318e-06,1.777779199997609e-07,2.979621944379889e-06,4.616866528079968e-06,0.0,India,IND,uttar pradesh,,,Windows-11-10.0.26200-SP0,3.13.9,3.2.6,12,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,80.3479,26.4631,7.341899871826172,machine,0,0,0,0,N,1.0,0.0
2026-04-26T21:49:35,Linear_Regression_Model,33eb4933-935f-484c-9c0e-459f8106863b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.516047700017225,3.0817344698713712e-06,2.0327424195402015e-06,4.880454205500002,0.35157852060886746,10.0,1.3693136457871293e-06,1.4777789600003977e-07,2.8024449999470056e-06,4.3195365417341745e-06,0.0,India,IND,uttar pradesh,,,Windows-11-10.0.26200-SP0,3.13.9,3.2.6,12,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650,80.3498,26.4652,7.341899871826172,machine,0,0,0,0,N,1.0,0.0
